"satis","country","age","age2"
2,"China",47,2209
5,"China",45,2025
5,"China",40,1600
4,"China",48,2304
6,"China",50,2500
6,"China",55,3025
2,"China",34,1156
5,"China",34,1156
5,"China",46,2116
6,"China",43,1849
6,"China",48,2304
8,"China",43,1849
6,"China",38,1444
6,"China",34,1156
9,"China",46,2116
8,"China",45,2025
7,"China",42,1764
3,"China",42,1764
3,"China",48,2304
5,"China",58,3364
6,"China",51,2601
4,"China",27,729
5,"China",40,1600
5,"China",39,1521
2,"China",50,2500
6,"China",21,441
5,"China",21,441
7,"China",39,1521
3,"China",59,3481
5,"China",47,2209
10,"China",45,2025
7,"China",48,2304
5,"China",54,2916
5,"China",32,1024
8,"China",59,3481
6,"China",43,1849
2,"China",42,1764
5,"China",59,3481
9,"China",31,961
8,"China",41,1681
7,"China",50,2500
8,"China",48,2304
8,"China",29,841
8,"China",23,529
5,"China",42,1764
5,"China",47,2209
6,"China",52,2704
5,"China",43,1849
5,"China",60,3600
1,"China",40,1600
6,"China",47,2209
7,"China",48,2304
0,"China",48,2304
6,"China",39,1521
4,"China",30,900
6,"China",34,1156
4,"China",42,1764
4,"China",22,484
0,"China",58,3364
1,"China",38,1444
1,"China",46,2116
2,"China",47,2209
4,"China",41,1681
5,"China",57,3249
8,"China",49,2401
6,"China",43,1849
1,"China",45,2025
8,"China",43,1849
5,"China",40,1600
6,"China",48,2304
5,"China",59,3481
5,"China",35,1225
5,"China",42,1764
7,"China",42,1764
7,"China",41,1681
6,"China",45,2025
5,"China",52,2704
8,"China",29,841
5,"China",41,1681
8,"China",45,2025
5,"China",50,2500
6,"China",50,2500
5,"China",52,2704
5,"China",40,1600
5,"China",45,2025
3,"China",42,1764
8,"China",22,484
5,"China",44,1936
6,"China",51,2601
7,"China",35,1225
5,"China",46,2116
3,"China",47,2209
3,"China",53,2809
5,"China",55,3025
3,"China",30,900
6,"China",40,1600
6,"China",25,625
6,"China",47,2209
0,"China",44,1936
5,"China",32,1024
0,"China",43,1849
5,"China",59,3481
5,"China",25,625
6,"China",53,2809
5,"China",50,2500
5,"China",41,1681
5,"China",50,2500
1,"China",55,3025
5,"China",34,1156
3,"China",59,3481
5,"China",50,2500
5,"China",52,2704
1,"China",40,1600
1,"China",43,1849
5,"China",24,576
5,"China",29,841
6,"China",59,3481
7,"China",36,1296
6,"China",58,3364
6,"China",40,1600
5,"China",31,961
6,"China",34,1156
0,"China",50,2500
6,"China",50,2500
4,"China",40,1600
4,"China",50,2500
5,"China",36,1296
3,"China",50,2500
5,"China",34,1156
5,"China",46,2116
5,"China",38,1444
5,"China",54,2916
5,"China",24,576
6,"China",21,441
0,"China",29,841
7,"China",38,1444
5,"China",23,529
5,"China",50,2500
6,"China",31,961
5,"China",37,1369
6,"China",40,1600
5,"China",27,729
4,"China",44,1936
7,"China",35,1225
5,"China",53,2809
3,"China",48,2304
6,"China",54,2916
5,"China",32,1024
4,"China",49,2401
8,"China",40,1600
7,"China",40,1600
